locality,street,rooms,area,price_total_zl,price_sqm_zl,owner_type,date_posted,photo_count,url,image_url
Łódź Śródmieście,,3,49,499000,10184,Bez pośredników,wczoraj,8,https://adresowo.pl/o/mieszkanie-lodz-srodmiescie-3-pokojowe-49-m2-y1t0w6,https://s2.adresowa.pl/oi/26/4b/3a9480_2f98_cover-3-pokojowe-mieszkanie-lodz-srodmiescie.jpg
,,,,,,Pośrednik,,,,
,,,,,,Pośrednik,,,,
Łódź Śródmieście,ul. Przędzalniana,1,23,210000,9130,Bez pośredników,wczoraj,8,https://adresowo.pl/o/mieszkanie-lodz-srodmiescie-ul-przedzalniana-1-pokoj-u3c7b0,https://s2.adresowa.pl/oi/4d/67/3a93c0_86ba_cover-1-pokojowe-mieszkanie-lodz-srodmiescie-ul-przedzalniana.jpg
Łódź Górna,,2,37,235000,6351,Bez pośredników,wczoraj,4,https://adresowo.pl/o/mieszkanie-lodz-gorna-2-pokojowe-37-m2-m5l7r6,https://s2.adresowa.pl/oi/15/20/3a93b4_fdcb_cover-2-pokojowe-mieszkanie-lodz-gorna.jpg
Łódź Chojny,ul. Bałtycka,2,44,399000,9007,Oferta biura nieruchomości,6 dni temu,14,https://adresowo.pl/o/mieszkanie-lodz-chojny-ul-baltycka-2-pokojowe-f5b7s1,https://s2.adresowa.pl/oi/71/74/3a80f8_f670_cover-2-pokojowe-mieszkanie-lodz-chojny-ul-baltycka.jpg
Łódź,ul. Pasterska,1,42,370000,8726,Oferta biura nieruchomości,ponad tydzień temu,8,https://adresowo.pl/o/mieszkanie-lodz-ul-pasterska-1-pokoj-o4d9k0,https://s2.adresowa.pl/oi/74/1f/3a7afc_8fc5_cover-1-pokojowe-mieszkanie-lodz-ul-pasterska.jpg
Łódź Widzew,ul. Ruska,2,38,530000,13947,Bez pośredników,wczoraj,13,https://adresowo.pl/o/mieszkanie-lodz-widzew-ul-ruska-2-pokojowe-e8y0r3,https://s2.adresowa.pl/oi/1c/1c/3a937a_3b99_cover-2-pokojowe-mieszkanie-lodz-widzew-ul-ruska.jpg
,,,,,,Pośrednik,,,,
,,,,,,Pośrednik,,,,
Łódź Widzew,ul. Gustawa Morcinka,2,38,300000,7862,Bez pośredników,wczoraj,20,https://adresowo.pl/o/mieszkanie-lodz-widzew-ul-gustawa-morcinka-2-pokojowe-b9i2u6,https://s2.adresowa.pl/oi/7d/55/3a936e_bdaf_cover-2-pokojowe-mieszkanie-lodz-widzew-ul-gustawa-morcinka.jpg
Łódź Polesie,,1,33,250000,7613,Bez pośredników,wczoraj,8,https://adresowo.pl/o/mieszkanie-lodz-polesie-1-pokoj-32-m2-s3k4u0,https://s2.adresowa.pl/oi/58/3f/3a9368_34ea_cover-1-pokojowe-mieszkanie-lodz-polesie.jpg
Łódź Śródmieście,,2,52,450000,8652,Oferta biura nieruchomości,ponad tydzień temu,10,https://adresowo.pl/o/mieszkanie-lodz-srodmiescie-2-pokojowe-52-m2-t7y5n8,https://s2.adresowa.pl/oi/37/79/3a7af4_9769_cover-2-pokojowe-mieszkanie-lodz-srodmiescie.jpg
Łódź Retkinia,ul. Olimpijska,1,31,267000,8613,Oferta biura nieruchomości,ponad tydzień temu,15,https://adresowo.pl/o/mieszkanie-lodz-retkinia-ul-olimpijska-1-pokoj-l4r5h1,https://s2.adresowa.pl/oi/58/30/3a75dc_c5f8_cover-1-pokojowe-mieszkanie-lodz-retkinia-ul-olimpijska.jpg
Łódź Bałuty,rynek Bałucki,2,38,360000,9474,Bez pośredników,wczoraj,8,https://adresowo.pl/o/mieszkanie-lodz-baluty-rynek-balucki-2-pokojowe-s9o6j8,https://s2.adresowa.pl/oi/5d/5c/3a9360_43db_cover-2-pokojowe-mieszkanie-lodz-baluty-rynek-balucki.jpg
Łódź Widzew,ul. Beli Bartoka,2,55,475000,8636,Bez pośredników,wczoraj,11,https://adresowo.pl/o/mieszkanie-lodz-widzew-ul-beli-bartoka-2-pokojowe-v3t7r2,https://s2.adresowa.pl/oi/4e/1e/3a9322_42a1_cover-2-pokojowe-mieszkanie-lodz-widzew-ul-beli-bartoka.jpg
,,,,,,Pośrednik,,,,
,,,,,,Pośrednik,,,,
Łódź Górna,ul. Bednarska,2,44,317000,7205,Bez pośredników,wczoraj,8,https://adresowo.pl/o/mieszkanie-lodz-gorna-ul-bednarska-2-pokojowe-d0h3s5,https://s2.adresowa.pl/oi/1f/3d/3a92fa_612d_cover-2-pokojowe-mieszkanie-lodz-gorna-ul-bednarska.jpg
Łódź Chojny,ul. Podmiejska,2,43,287000,6678,Oferta biura nieruchomości,ponad tydzień temu,10,https://adresowo.pl/o/mieszkanie-lodz-chojny-ul-podmiejska-2-pokojowe-e2w7w1,https://s2.adresowa.pl/oi/32/39/3a7016_9b69_cover-2-pokojowe-mieszkanie-lodz-chojny-ul-podmiejska.jpg
Łódź Dąbrowa,ul. Górna,2,36,349000,9662,Oferta biura nieruchomości,ponad tydzień temu,9,https://adresowo.pl/o/mieszkanie-lodz-dabrowa-ul-gorna-2-pokojowe-c9c9f2,https://s2.adresowa.pl/oi/7f/1b/3a5f9c_d495_cover-2-pokojowe-mieszkanie-lodz-dabrowa-ul-gorna.jpg
Łódź Śródmieście,ul. Henryka Sienkiewicza,4,118,710000,6017,Bez pośredników,3 dni temu,37,https://adresowo.pl/o/mieszkanie-lodz-srodmiescie-ul-henryka-sienkiewicza-4-pokojowe-p3o8q1,https://s2.adresowa.pl/oi/3a/6d/3a8f28_ba2d_cover-4-pokojowe-mieszkanie-lodz-srodmiescie-ul-henryka-sienkiewicza.jpg
Łódź Śródmieście,ul. Stefana Żeromskiego,1,21,250000,11905,Bez pośredników,3 dni temu,6,https://adresowo.pl/o/mieszkanie-lodz-srodmiescie-ul-stefana-zeromskiego-1-pokoj-g4y8o3,https://s2.adresowa.pl/oi/2f/62/3a8ea8_5f7f_cover-1-pokojowe-mieszkanie-lodz-srodmiescie-ul-stefana-zeromskiego.jpg
Łódź Bałuty,pl. Wolności,2,80,499000,6238,Bez pośredników,3 dni temu,8,https://adresowo.pl/o/mieszkanie-lodz-baluty-pl-wolnosci-2-pokojowe-v2k6j4,https://s2.adresowa.pl/oi/78/28/3a8e00_dfc8_cover-2-pokojowe-mieszkanie-lodz-baluty-pl-wolnosci.jpg
,,,,,,Pośrednik,,,,
,,,,,,Pośrednik,,,,
Łódź Teofilów,ul. Aleksandrowska,2,36,269000,7472,Oferta biura nieruchomości,ponad tydzień temu,7,https://adresowo.pl/o/mieszkanie-lodz-teofilow-ul-aleksandrowska-2-pokojowe-c5b1x1,https://s2.adresowa.pl/oi/6a/24/3a5f94_7f16_cover-2-pokojowe-mieszkanie-lodz-teofilow-ul-aleksandrowska.jpg
Łódź Stare Polesie,al. 1 Maja,2,50,429000,8644,Oferta biura nieruchomości,ponad tydzień temu,10,https://adresowo.pl/o/mieszkanie-lodz-stare-polesie-al-1-maja-2-pokojowe-u2x7y1,https://s2.adresowa.pl/oi/77/7e/3a5eae_a132_cover-2-pokojowe-mieszkanie-lodz-stare-polesie-al-1-maja.jpg
Łódź Śródmieście,ul. Andrzeja Struga,3,96,649000,6760,Bez pośredników,3 dni temu,7,https://adresowo.pl/o/mieszkanie-lodz-srodmiescie-ul-andrzeja-struga-3-pokojowe-j7q4i7,https://s2.adresowa.pl/oi/23/6f/3a89e6_fe00_cover-3-pokojowe-mieszkanie-lodz-srodmiescie-ul-andrzeja-struga.jpg
Łódź Olechów,ul. Bolesława Szczodrego,4,79,660000,8354,Bez pośredników,4 dni temu,8,https://adresowo.pl/o/mieszkanie-lodz-olechow-ul-boleslawa-szczodrego-4-pokojowe-g7n0o3,https://s2.adresowa.pl/oi/39/2b/3a89ac_46ec_cover-4-pokojowe-mieszkanie-lodz-olechow-ul-boleslawa-szczodrego.jpg
Łódź Retkinia,ul. Armii Krajowej,3,53,485000,9151,Bez pośredników,4 dni temu,7,https://adresowo.pl/o/mieszkanie-lodz-retkinia-ul-armii-krajowej-3-pokojowe-z0f2z3,https://s2.adresowa.pl/oi/68/2b/3a895c_3227_cover-3-pokojowe-mieszkanie-lodz-retkinia-ul-armii-krajowej.jpg
Łódź,ul. Pieniny,2,34,225000,6677,Oferta biura nieruchomości,ponad tydzień temu,5,https://adresowo.pl/o/mieszkanie-lodz-ul-pieniny-2-pokojowe-y9e7i3,https://s2.adresowa.pl/oi/28/52/3a5dc0_3f63_cover-2-pokojowe-mieszkanie-lodz-ul-pieniny.jpg
Łódź Górna,ul. Siarczana,2,40,340000,8573,Oferta biura nieruchomości,ponad tydzień temu,9,https://adresowo.pl/o/mieszkanie-lodz-gorna-ul-siarczana-2-pokojowe-u9z1z8,https://s2.adresowa.pl/oi/52/46/3a5da6_9400_cover-2-pokojowe-mieszkanie-lodz-gorna-ul-siarczana.jpg
